molecule_chembl_id,canonical_smiles,pAffinity,MW,logP,TPSA,HBD,HBA,RotB,AromR,QED,scaffold,peptide_like
CHEMBL3319218,C#Cc1ccc(Cl)c(C(=O)NC(=O)Nc2nc3ccc(S(=O)(=O)CCCN4CCN(C)CC4)cc3s2)c1,8.292429823902063,560.1010000000005,3.304100000000002,111.70999999999998,2,8,7,3,0.4271464179295192,O=C(NC(=O)c1ccccc1)Nc1nc2ccc(S(=O)(=O)CCCN3CCNCC3)cc2s1,False
CHEMBL4294083,C#Cc1ccc([C@H](C)NC(=O)N(C)C2CCN(C3CCc4cc(-c5cc(C)ncn5)ccc43)CC2)c(Cl)c1Cl,6.806875401645538,562.5450000000003,6.594420000000007,61.36000000000001,1,4,5,3,0.35651141887573023,O=C(NCc1ccccc1)NC1CCN(C2CCc3cc(-c4ccncn4)ccc32)CC1,False
CHEMBL4295148,C#Cc1ccc([C@H](C)NC(=O)N(C)C2CCN(C3CCc4cc(C)ccc43)CC2)c(Cl)c1Cl,6.97469413473523,484.47100000000034,6.137420000000007,35.580000000000005,1,2,4,2,0.5297075578983139,O=C(NCc1ccccc1)NC1CCN(C2CCc3ccccc32)CC1,False
CHEMBL2310890,C/C=C/C=C/C=C/C(=O)OC[C@H](NC(=O)[C@H](CO)NC(=O)CN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CO)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](Cc1c[nH]cn1)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CO)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N1CCC[C@H]1C(=O)N[C@@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(N)=O)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)O)C(C)C,9.008773924307505,3364.8699999999963,-16.202300000000122,1473.769999999999,45,48,114,2,0.007301487803503773,O=C(CCc1ccccc1)NCC(=O)NCC(=O)N1CCCC1C(=O)NCC(=O)NC(Cc1c[nH]cn1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCCC1C(=O)N1CCCC1C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N1CCCC1,True
CHEMBL4780843,C=CC(=O)NCC(=O)N[C@H](Cc1c[nH]c2ccccc12)c1nnc(CCc2ccccc2)n1Cc1ccc(OC)cc1,8.397940008672037,562.6740000000003,4.303700000000003,113.93000000000002,3,5,13,5,0.1852397579790011,c1ccc(CCc2nnc(CCc3c[nH]c4ccccc34)n2Cc2ccccc2)cc1,True
CHEMBL2164500,C=CCN1CCN(CC(=O)NC2(c3ccc(Cl)c(Cl)c3)C(=O)Nc3cc(Cl)cc(Cl)c32)CC1,7.16871551653337,528.2670000000002,4.415700000000004,64.67999999999999,2,4,6,2,0.5458116732938255,O=C(CN1CCNCC1)NC1(c2ccccc2)C(=O)Nc2ccccc21,False
CHEMBL3586031,CC(=O)N1CC=C(c2cnc(NCc3ccc4c(c3)OCO4)c(C(=O)NC[C@H]3COc4ccccc4O3)c2)CC1,7.376750709602099,542.5920000000002,3.6278000000000024,111.25000000000003,2,8,7,3,0.4658494244048221,O=C(NCC1COc2ccccc2O1)c1cc(C2=CCNCC2)cnc1NCc1ccc2c(c1)OCO2,False
CHEMBL3593632,CC(=O)N1C[C@@H]2C=C(c3cnc(NCc4ccc5c(c4)OCC5)c(C(=O)NC[C@H]4COc5ccccc5O4)c3)C[C@H]1CC2,9.4089353929735,580.6850000000002,4.612600000000004,102.02000000000001,2,7,7,3,0.42087021560009313,O=C(NCC1COc2ccccc2O1)c1cc(C2=CC3CCC(C2)NC3)cnc1NCc1ccc2c(c1)OCC2,False
CHEMBL3586032,CC(=O)N1[C@@H]2CC[C@H]1C=C(c1cnc(NCc3ccc4c(c3)OCC4)c(C(=O)NC[C@H]3COc4ccccc4O3)c1)C2,8.26318353656308,566.6580000000004,4.365000000000003,102.02000000000001,2,7,7,3,0.4381536127458162,O=C(NCC1COc2ccccc2O1)c1cc(C2=CC3CCC(C2)N3)cnc1NCc1ccc2c(c1)OCC2,False
CHEMBL3578018,CC(=O)NC(CNC(=O)CCC(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1cccc2ccccc12)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1cnc[nH]1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(N)=O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@@H](Cc1ccc(O)cc1)C(N)=O)[C@@H](C)O,7.151227714264519,2985.589999999994,-3.8747899999999205,1155.46,42,35,97,8,0.009849319380499313,O=C(CCC(=O)NCC(=O)NCC(=O)NC(Cc1cccc2ccccc12)C(=O)NC(Cc1ccccc1)C(=O)NCCc1c[nH]c2ccccc12)NCCC(=O)NCC(=O)NCC(=O)NC(Cc1cnc[nH]1)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)NCCc1ccccc1,True
