GSE308625 · ghrelin 系统与心衰标志物表达（CPM）
======================================================================

对照组 : ['DK24070_01', 'DK24070_02', 'DK24070_03']
HFpEF  : ['DK24070_04', 'DK24070_05', 'DK24070_06']

基因                对照均值     HFpEF均值    log2FC      检出
----------------------------------------------------------------------
Ghsr            0.0000      0.0000     +0.00     0/6
Ghrl            0.0000      0.0000     +0.00     0/6
Mboat4          0.0000      0.2322     +7.87     1/6
Leap2           0.0000      0.0000     +0.00     0/6
Sucnr1          0.0000      0.0000     +0.00     0/6
Ppargc1a       93.8377    105.3115     +0.17     6/6
Cpt1b         170.9890    161.2122     -0.08     6/6
Myh6         6318.9087   4983.8543     -0.34     6/6
Actb          475.8149    508.6013     +0.10     6/6
Nppa           209.469     209.764     +0.00     6/6
Nppb            32.885      39.112     +0.25     6/6
Myh7            53.189      61.933     +0.22     6/6
Col1a1          44.846     125.781     +1.49     6/6
Col3a1          79.672     193.677     +1.28     6/6
Postn            6.784      43.270     +2.67     6/6
