Gene	Gene name	Cell type	nCPM
ENSG00000121853	GHSR	adipocytes	0.9
ENSG00000121853	GHSR	adrenal cortex cells	0.0
ENSG00000121853	GHSR	adrenal medulla cells	0.0
ENSG00000121853	GHSR	alveolar cells type 1	0.0
ENSG00000121853	GHSR	alveolar cells type 2	0.0
ENSG00000121853	GHSR	astrocytes	0.0
ENSG00000121853	GHSR	b-cells	0.0
ENSG00000121853	GHSR	basal keratinocytes	0.0
ENSG00000121853	GHSR	basal prostatic cells	0.0
ENSG00000121853	GHSR	bergmann glia	0.0
ENSG00000121853	GHSR	brain excitatory neurons	0.9
ENSG00000121853	GHSR	brain inhibitory neurons	0.5
ENSG00000121853	GHSR	breast hormone-responsive cells	0.1
ENSG00000121853	GHSR	breast lactating cells	0.0
ENSG00000121853	GHSR	breast myoepithelial cells	0.0
ENSG00000121853	GHSR	breast secretory cells	0.0
ENSG00000121853	GHSR	cardiomyocytes	0.1
ENSG00000121853	GHSR	cdc	0.0
ENSG00000121853	GHSR	cholangiocytes	0.0
ENSG00000121853	GHSR	choroid plexus epithelial cells	0.0
ENSG00000121853	GHSR	colonocytes	0.0
ENSG00000121853	GHSR	cone photoreceptor cells	0.0
ENSG00000121853	GHSR	conjunctival goblet cells	0.0
ENSG00000121853	GHSR	corticotrophs	17.5
ENSG00000121853	GHSR	cytotrophoblasts	0.0
ENSG00000121853	GHSR	decidual stromal cells	0.0
ENSG00000121853	GHSR	differentiating spermatogonia	0.0
ENSG00000121853	GHSR	distal convoluted tubule cells	0.0
ENSG00000121853	GHSR	early primary spermatocytes	0.0
ENSG00000121853	GHSR	early spermatids	0.0
ENSG00000121853	GHSR	endometrial ciliated cells	0.0
ENSG00000121853	GHSR	endometrial glandular cells	0.5
ENSG00000121853	GHSR	endometrial luminal cells	0.4
ENSG00000121853	GHSR	endometrial secretory cells	1.6
ENSG00000121853	GHSR	endometrial stromal cells	0.2
ENSG00000121853	GHSR	enteric stem cells	0.0
ENSG00000121853	GHSR	enteric transient amplifying cells	0.0
ENSG00000121853	GHSR	enterocytes	0.0
ENSG00000121853	GHSR	ependymal cells	0.0
ENSG00000121853	GHSR	epicardial cells	0.0
ENSG00000121853	GHSR	epididymal basal cells	0.2
ENSG00000121853	GHSR	epididymal clear cells	0.0
ENSG00000121853	GHSR	epididymal efferent duct absorptive cells	0.0
ENSG00000121853	GHSR	epididymal efferent duct ciliated cells	0.0
ENSG00000121853	GHSR	epididymal principal cells	0.0
ENSG00000121853	GHSR	erythrocyte progenitors	0.0
ENSG00000121853	GHSR	erythrocytes	0.0
ENSG00000121853	GHSR	esophageal apical cells	0.0
ENSG00000121853	GHSR	esophageal basal cells	0.0
ENSG00000121853	GHSR	esophageal suprabasal cells	0.0
ENSG00000121853	GHSR	extravillous trophoblasts	0.0
ENSG00000121853	GHSR	fallopian secretory cells	0.0
ENSG00000121853	GHSR	fallopian tube ciliated cells	0.0
ENSG00000121853	GHSR	fibro-adipogenic progenitors	0.0
ENSG00000121853	GHSR	fibroblasts	0.0
ENSG00000121853	GHSR	foveolar cells	0.0
ENSG00000121853	GHSR	gastric chief cells	0.0
ENSG00000121853	GHSR	gastric progenitor cells	0.0
ENSG00000121853	GHSR	goblet cells	0.0
ENSG00000121853	GHSR	gonadotrophs	2.1
ENSG00000121853	GHSR	granulosa cells	0.0
ENSG00000121853	GHSR	hematopoietic stem cells	0.0
ENSG00000121853	GHSR	hepatic stellate cells	0.0
ENSG00000121853	GHSR	hepatocytes	0.0
ENSG00000121853	GHSR	hofbauer cells	0.1
ENSG00000121853	GHSR	innate lymphoid cells	0.0
ENSG00000121853	GHSR	kupffer cells	0.0
ENSG00000121853	GHSR	lacrimal acinar cells	0.0
ENSG00000121853	GHSR	lactotrophs	5.8
ENSG00000121853	GHSR	late primary spermatocytes	0.0
ENSG00000121853	GHSR	late spermatids	0.0
ENSG00000121853	GHSR	leydig cells	0.0
ENSG00000121853	GHSR	loop of henle epithelial cells	0.0
ENSG00000121853	GHSR	lymphatic endothelial cells	0.0
ENSG00000121853	GHSR	macrophages	0.1
ENSG00000121853	GHSR	mast cells	0.0
ENSG00000121853	GHSR	medullary thymic epithelial cells	0.0
ENSG00000121853	GHSR	megakaryocyte progenitors	0.0
ENSG00000121853	GHSR	megakaryocyte-erythroid progenitors	0.0
ENSG00000121853	GHSR	megakaryocytes	0.0
ENSG00000121853	GHSR	melanocytes	0.0
ENSG00000121853	GHSR	mesothelial cells	0.0
ENSG00000121853	GHSR	microglia	0.0
ENSG00000121853	GHSR	migrating cytotrophoblasts	0.0
ENSG00000121853	GHSR	monocyte progenitors	0.0
ENSG00000121853	GHSR	monocytes	0.0
ENSG00000121853	GHSR	mucous neck cells	0.0
ENSG00000121853	GHSR	müller glia	0.0
ENSG00000121853	GHSR	myonuclei	0.1
ENSG00000121853	GHSR	myosatellite cells	0.0
ENSG00000121853	GHSR	neuroendocrine cells	0.0
ENSG00000121853	GHSR	neutrophil progenitors	0.0
ENSG00000121853	GHSR	neutrophils	0.0
ENSG00000121853	GHSR	nk-cells	1.8
ENSG00000121853	GHSR	ocular epithelial cells	0.1
ENSG00000121853	GHSR	oligodendrocyte progenitor cells	0.0
ENSG00000121853	GHSR	oligodendrocytes	0.1
ENSG00000121853	GHSR	oocytes	0.0
ENSG00000121853	GHSR	other brain neurons	2.2
ENSG00000121853	GHSR	ovarian stromal cells	0.0
ENSG00000121853	GHSR	pancreatic acinar cells	0.0
ENSG00000121853	GHSR	pancreatic duct cells	0.0
ENSG00000121853	GHSR	pancreatic islet cells	3.6
ENSG00000121853	GHSR	paneth cells	0.0
